zone,date,period,treatment,temperature_c,humidity_pct,record_id
A,2026-07-01,13:00,none,35.2,48,obs-001
A,2026-07-01,14:00,shade,32.8,51,obs-002
A,2026-07-02,13:00,none,34.7,46,obs-003
A,2026-07-02,14:00,shade,32.5,49,obs-004
B,2026-07-01,13:00,none,36.0,44,obs-005
B,2026-07-01,14:00,shade,33.9,47,obs-006
B,2026-07-02,13:00,none,35.6,43,obs-007
B,2026-07-02,14:00,shade,33.6,46,obs-008
C,2026-07-01,13:00,none,34.4,52,obs-009
C,2026-07-01,14:00,shade,32.9,54,obs-010
C,2026-07-02,13:00,none,34.1,50,obs-011
C,2026-07-02,14:00,shade,32.7,53,obs-012
D,2026-07-01,13:00,none,33.8,55,obs-013
D,2026-07-01,14:00,shade,32.1,56,obs-014
D,2026-07-02,13:00,none,33.5,54,obs-015
D,2026-07-02,14:00,shade,31.9,55,obs-016
E,2026-07-01,13:00,none,35.5,47,obs-017
E,2026-07-01,14:00,shade,34.2,48,obs-018
E,2026-07-02,13:00,none,35.1,45,obs-019
E,2026-07-02,14:00,shade,33.8,47,obs-020
F,2026-07-01,13:00,none,34.9,50,obs-021
F,2026-07-01,14:00,shade,33.1,52,obs-022
F,2026-07-02,13:00,none,34.6,49,obs-023
F,2026-07-02,14:00,shade,32.9,51,obs-024
