record_type,label,updates,update_06,update_12,update_18,total_cost_yuan,normal_settlement_cost_yuan,emergency_cost_yuan,emergency_purchase_kwh,upward_adjustment_kwh,downward_adjustment_kwh,terminal_soc_kwh,validation_status,state_update,new_pv_release,load_feedback_alpha05,cost_saving_vs_all_off_yuan,emergency_reduction_vs_all_off_kwh,module,shapley_cost_saving_yuan,shapley_emergency_reduction_kwh,cost_saving_interaction_yuan,emergency_reduction_interaction_kwh
combination,SOC=关；光伏预报=关；负载反馈=关,"{6,12,18}",1,1,1,14205843.320749808,13481151.233860055,724692.0868897539,119903.90747417159,2.7192470497539034e-11,2.864464221374874e-11,8687.221395111112,PASS,0,0,0,0.0,0.0,,,,,
combination,SOC=开；光伏预报=关；负载反馈=关,"{6,12,18}",1,1,1,13822611.165197162,13567788.044119809,254823.1210773537,45812.412209702205,132827.82584304275,404030.0947828553,8687.221395111112,PASS,1,0,0,383232.15555264615,74091.49526446938,,,,,
combination,SOC=关；光伏预报=开；负载反馈=关,"{6,12,18}",1,1,1,14050006.56949901,13471842.309503216,578164.2599957946,98416.76103406533,274366.04337178974,843852.056683837,8687.221395111112,PASS,0,1,0,155836.75125079788,21487.146440106255,,,,,
combination,SOC=关；光伏预报=关；负载反馈=开,"{6,12,18}",1,1,1,14069462.809393184,13619299.926151853,450162.8832413308,74389.84437187984,178363.38617926222,196107.3880582687,8531.119211052304,PASS,0,0,1,136380.51135662384,45514.06310229175,,,,,
combination,SOC=开；光伏预报=开；负载反馈=关,"{6,12,18}",1,1,1,13720153.478752151,13466103.138640894,254050.34011125652,45747.04205267706,285812.634043143,1050942.6870413707,8687.221395111112,PASS,1,1,0,485689.841997657,74156.86542149453,,,,,
combination,SOC=开；光伏预报=关；负载反馈=开,"{6,12,18}",1,1,1,13800257.567739172,13655948.285981458,144309.28175771402,25882.178476758192,262280.9072415632,577643.0873114999,8531.119211052304,PASS,1,0,1,405585.7530106362,94021.72899741339,,,,,
combination,SOC=关；光伏预报=开；负载反馈=开,"{6,12,18}",1,1,1,13778596.298860108,13494057.774525099,284538.5243350102,50075.6420006982,302575.3980330103,922966.2211147099,8531.119211052304,PASS,0,1,1,427247.0218896996,69828.26547347338,,,,,
combination,SOC=开；光伏预报=开；负载反馈=开,"{6,12,18}",1,1,1,13599978.89156055,13468394.900359763,131583.9912007882,23339.680775940156,307205.51007036184,1142817.3223080721,8531.119211052304,PASS,1,1,1,605864.4291892573,96564.22669823143,,,,,
shapley,state 的 Shapley 平均边际贡献,,,,,,,,,,,,,,,,,,state,287126.2430175465,50472.04964249413,,
shapley,pv 的 Shapley 平均边际贡献,,,,,,,,,,,,,,,,,,pv,184259.17530615407,12073.143468342561,,
shapley,load 的 Shapley 平均边际贡献,,,,,,,,,,,,,,,,,,load,134479.0108655567,34019.03358739474,,
interaction,state×pv 的平均二阶交互,,,,,,,,,,,,,,,,,,state×pv,,,-71983.44958012085,-21596.74047672235
interaction,state×load 的平均二阶交互,,,,,,,,,,,,,,,,,,state×load,,,-132631.2986729676,-25758.793562988983
interaction,pv×load 的平均二阶交互,,,,,,,,,,,,,,,,,,pv×load,,,116425.3745079441,2652.091737434137
