record_type,label,updates,update_06,update_12,update_18,total_cost_yuan,normal_settlement_cost_yuan,emergency_cost_yuan,emergency_purchase_kwh,upward_adjustment_kwh,downward_adjustment_kwh,terminal_soc_kwh,validation_status,cost_saving_vs_no_update_yuan,emergency_reduction_vs_no_update_kwh,shapley_cost_saving_yuan,shapley_emergency_reduction_kwh
combination,∅,∅,0,0,0,14205843.320749808,13481151.233860055,724692.086889754,119903.90747417159,0.0,0.0,8687.221395111112,PASS,0.0,0.0,,
combination,{6},{6},1,0,0,13905332.150052153,13661797.38531351,243534.76473864156,39415.08398371577,435081.62522570835,850589.2030628015,8514.099497326017,PASS,300511.1706976555,80488.82349045582,,
combination,{12},{12},0,1,0,13787053.098471632,13418120.239478419,368932.85899321287,66740.57375978924,182332.61988815744,884586.9789593862,8526.77795600853,PASS,418790.2222781759,53163.333714382345,,
combination,{18},{18},0,0,1,13912889.221531002,13637323.962583307,275565.2589476949,52735.08756650592,97199.37972189038,57805.0882993729,8531.119211052304,PASS,292954.09921880625,67168.81990766566,,
combination,"{6,12}","{6,12}",1,1,0,13669742.05480145,13444765.598025223,224976.4567762265,37319.47194761367,294162.9668930062,1135717.3994699903,8526.77795600853,PASS,536101.2659483589,82584.43552655792,,
combination,"{6,18}","{6,18}",1,0,1,13823839.811010232,13691824.337545283,132015.47346494996,23391.25924506039,447858.43363931554,837791.0563233267,8531.119211052304,PASS,382003.5097395759,96512.64822911119,,
combination,"{12,18}","{12,18}",0,1,1,13717736.048283966,13441241.224128494,276494.8241554717,52888.021824223935,195093.61815689798,891865.8372807178,8531.119211052304,PASS,488107.27246584184,67015.88564994765,,
combination,"{6,12,18}","{6,12,18}",1,1,1,13599978.89156055,13468394.900359763,131583.9912007882,23339.680775940156,307205.51007036184,1142817.3223080721,8531.119211052304,PASS,605864.4291892573,96564.22669823143,,
shapley,6:00 的 Shapley 平均边际贡献,6:00,,,,,,,,,,,,,,173816.18483884912,46473.209868516715
shapley,12:00 的 Shapley 平均边际贡献,12:00,,,,,,,,,,,,,,286007.59199224226,18062.08369089821
shapley,18:00 的 Shapley 平均边际贡献,18:00,,,,,,,,,,,,,,146040.65235816594,32028.9331388165
