scenario,audit_date,decision_time,decision_slot,perturbed_future_actual,perturbation_rule,decision_vector_length,baseline_vs_formal_plan_max_abs_kwh,perturbed_vs_baseline_max_abs_kwh,perturbed_vs_baseline_l1_kwh,future_information_invariant,formal_plan_reproduced
Q2,2025-03-20,00:00,0,load,"load=1.37×+17; pv=0.41×; price=1.61×+0.013, only from decision slot onward",144,0.0,0.0,0.0,True,True
Q2,2025-03-20,00:00,0,pv,"load=1.37×+17; pv=0.41×; price=1.61×+0.013, only from decision slot onward",144,0.0,0.0,0.0,True,True
Q2,2025-06-21,00:00,0,load,"load=1.37×+17; pv=0.41×; price=1.61×+0.013, only from decision slot onward",144,0.0,0.0,0.0,True,True
Q2,2025-06-21,00:00,0,pv,"load=1.37×+17; pv=0.41×; price=1.61×+0.013, only from decision slot onward",144,0.0,0.0,0.0,True,True
Q2,2025-09-23,00:00,0,load,"load=1.37×+17; pv=0.41×; price=1.61×+0.013, only from decision slot onward",144,0.0,0.0,0.0,True,True
Q2,2025-09-23,00:00,0,pv,"load=1.37×+17; pv=0.41×; price=1.61×+0.013, only from decision slot onward",144,0.0,0.0,0.0,True,True
Q2,2025-12-21,00:00,0,load,"load=1.37×+17; pv=0.41×; price=1.61×+0.013, only from decision slot onward",144,0.0,0.0,0.0,True,True
Q2,2025-12-21,00:00,0,pv,"load=1.37×+17; pv=0.41×; price=1.61×+0.013, only from decision slot onward",144,0.0,0.0,0.0,True,True
Q3,2025-03-20,00:00,0,load,"load=1.37×+17; pv=0.41×; price=1.61×+0.013, only from decision slot onward",144,0.0,0.0,0.0,True,True
Q3,2025-03-20,00:00,0,pv,"load=1.37×+17; pv=0.41×; price=1.61×+0.013, only from decision slot onward",144,0.0,0.0,0.0,True,True
Q3,2025-03-20,06:00,36,load,"load=1.37×+17; pv=0.41×; price=1.61×+0.013, only from decision slot onward",108,0.0,0.0,0.0,True,True
Q3,2025-03-20,06:00,36,pv,"load=1.37×+17; pv=0.41×; price=1.61×+0.013, only from decision slot onward",108,0.0,0.0,0.0,True,True
Q3,2025-03-20,12:00,72,load,"load=1.37×+17; pv=0.41×; price=1.61×+0.013, only from decision slot onward",72,0.0,0.0,0.0,True,True
Q3,2025-03-20,12:00,72,pv,"load=1.37×+17; pv=0.41×; price=1.61×+0.013, only from decision slot onward",72,0.0,0.0,0.0,True,True
Q3,2025-03-20,18:00,108,load,"load=1.37×+17; pv=0.41×; price=1.61×+0.013, only from decision slot onward",36,0.0,0.0,0.0,True,True
Q3,2025-03-20,18:00,108,pv,"load=1.37×+17; pv=0.41×; price=1.61×+0.013, only from decision slot onward",36,0.0,0.0,0.0,True,True
Q3,2025-06-21,00:00,0,load,"load=1.37×+17; pv=0.41×; price=1.61×+0.013, only from decision slot onward",144,0.0,0.0,0.0,True,True
Q3,2025-06-21,00:00,0,pv,"load=1.37×+17; pv=0.41×; price=1.61×+0.013, only from decision slot onward",144,0.0,0.0,0.0,True,True
Q3,2025-06-21,06:00,36,load,"load=1.37×+17; pv=0.41×; price=1.61×+0.013, only from decision slot onward",108,0.0,0.0,0.0,True,True
Q3,2025-06-21,06:00,36,pv,"load=1.37×+17; pv=0.41×; price=1.61×+0.013, only from decision slot onward",108,0.0,0.0,0.0,True,True
Q3,2025-06-21,12:00,72,load,"load=1.37×+17; pv=0.41×; price=1.61×+0.013, only from decision slot onward",72,0.0,0.0,0.0,True,True
Q3,2025-06-21,12:00,72,pv,"load=1.37×+17; pv=0.41×; price=1.61×+0.013, only from decision slot onward",72,0.0,0.0,0.0,True,True
Q3,2025-06-21,18:00,108,load,"load=1.37×+17; pv=0.41×; price=1.61×+0.013, only from decision slot onward",36,0.0,0.0,0.0,True,True
Q3,2025-06-21,18:00,108,pv,"load=1.37×+17; pv=0.41×; price=1.61×+0.013, only from decision slot onward",36,0.0,0.0,0.0,True,True
Q3,2025-09-23,00:00,0,load,"load=1.37×+17; pv=0.41×; price=1.61×+0.013, only from decision slot onward",144,0.0,0.0,0.0,True,True
Q3,2025-09-23,00:00,0,pv,"load=1.37×+17; pv=0.41×; price=1.61×+0.013, only from decision slot onward",144,0.0,0.0,0.0,True,True
Q3,2025-09-23,06:00,36,load,"load=1.37×+17; pv=0.41×; price=1.61×+0.013, only from decision slot onward",108,0.0,0.0,0.0,True,True
Q3,2025-09-23,06:00,36,pv,"load=1.37×+17; pv=0.41×; price=1.61×+0.013, only from decision slot onward",108,0.0,0.0,0.0,True,True
Q3,2025-09-23,12:00,72,load,"load=1.37×+17; pv=0.41×; price=1.61×+0.013, only from decision slot onward",72,0.0,0.0,0.0,True,True
Q3,2025-09-23,12:00,72,pv,"load=1.37×+17; pv=0.41×; price=1.61×+0.013, only from decision slot onward",72,0.0,0.0,0.0,True,True
Q3,2025-09-23,18:00,108,load,"load=1.37×+17; pv=0.41×; price=1.61×+0.013, only from decision slot onward",36,0.0,0.0,0.0,True,True
Q3,2025-09-23,18:00,108,pv,"load=1.37×+17; pv=0.41×; price=1.61×+0.013, only from decision slot onward",36,0.0,0.0,0.0,True,True
Q3,2025-12-21,00:00,0,load,"load=1.37×+17; pv=0.41×; price=1.61×+0.013, only from decision slot onward",144,0.0,0.0,0.0,True,True
