time_index,single_objective_soc_kwh,lexicographic_soc_kwh,difference_kwh
0,6000.0,6000.0,0.0
1,6750.0,6750.0,0.0
2,7500.0,7500.0,0.0
3,8250.0,8250.0,0.0
4,9000.0,9000.0,0.0
5,9750.0,9750.0,0.0
6,9750.0,9750.0,0.0
7,9750.0,9750.0,0.0
8,9750.0,9750.0,0.0
9,10050.0,10050.0,0.0
10,10050.0,10050.0,0.0
11,10050.0,10050.0,0.0
12,10050.0,10050.0,0.0
13,10050.0,10050.0,0.0
14,10050.0,10050.0,0.0
15,10050.0,10050.0,0.0
16,10050.0,10050.0,0.0
17,10050.0,10050.0,0.0
18,10050.0,10050.0,0.0
19,10050.0,10050.0,0.0
20,10050.0,10050.0,0.0
21,10050.0,10050.0,0.0
22,10050.0,10050.0,0.0
23,10050.0,10050.0,0.0
24,10050.0,10050.0,0.0
25,10050.0,10050.0,0.0
26,10050.0,10050.0,0.0
27,10050.0,10050.0,0.0
28,10050.0,10050.0,0.0
29,10050.0,10050.0,0.0
30,10050.0,10050.0,0.0
31,10050.0,10050.0,0.0
32,10050.0,10050.0,0.0
33,10050.0,10050.0,0.0
34,10800.0,10800.0,0.0
35,10800.0,10800.0,0.0
36,10057.495685185186,10057.495685185186,0.0
37,9329.211981481481,9329.211981481481,0.0
38,8644.2075,8644.2075,0.0
39,7987.035851851852,7987.035851851852,0.0
40,7367.606000000001,7367.606000000001,0.0
41,6779.561888888889,6779.561888888889,0.0
42,6221.261092592593,6221.261092592593,0.0
43,5715.212685185185,5715.212685185185,0.0
44,5259.583018518519,5259.583018518519,0.0
45,4862.919925925926,4862.919925925926,0.0
46,4548.071518518518,4548.071522454566,3.936047505703755e-06
47,4191.755833333333,4191.75583726938,3.936047505703755e-06
48,3726.8431111111104,3726.843115047158,3.936047505703755e-06
49,3302.4977962962957,3302.4978002323433,3.936047505703755e-06
50,2958.5462962962956,2958.546300232343,3.936047505703755e-06
51,2664.52474074074,2664.5247446767876,3.936047505703755e-06
52,2427.0349629629623,2427.0349668990098,3.936047505703755e-06
53,2228.6361666666658,2228.6361706027133,3.936047505703755e-06
54,2055.9782592592583,2055.9782631953058,3.936047505703755e-06
55,1931.2454814814803,1931.2454854175278,3.936047505703755e-06
56,1859.6934074074063,1859.6934113434538,3.936047505703755e-06
57,1834.6242407407397,1834.6242446767872,3.936047505703755e-06
58,1850.3059007407396,1850.3059046767871,3.936047505703755e-06
59,1897.8598907407395,1897.859894676787,3.936047505703755e-06
60,1973.9660657407394,1973.966069676787,3.936047505703755e-06
61,2079.2512907407395,2079.251294676787,3.936047505703755e-06
62,2211.2458307407396,2211.245834676787,3.936047505703755e-06
