slot,interval,lp_purchase_kwh,milp_purchase_kwh,lp_charge_kwh,milp_charge_kwh,lp_discharge_kwh,milp_discharge_kwh,lp_spill_kwh,milp_spill_kwh,lp_soc_close_kwh,milp_soc_close_kwh,milp_z,frozen_lp_purchase_kwh,frozen_lp_charge_kwh,frozen_lp_discharge_kwh
1,00:00-00:10,1406.641100000000,1406.641100000000,833.333333333333,833.333333333333,0.000000000000,0.000000000000,0.000000000000,0.000000000000,6750.000000000000,6750.000000000000,1,1406.641100000000,833.333333333300,0.000000000000
2,00:10-00:20,1406.329866666666,1406.329866666666,833.333333333333,833.333333333333,0.000000000000,0.000000000000,0.000000000000,0.000000000000,7500.000000000000,7500.000000000000,1,1406.329866666700,833.333333333300,0.000000000000
3,00:20-00:30,1407.383850000000,1407.383850000000,833.333333333333,833.333333333333,0.000000000000,0.000000000000,0.000000000000,0.000000000000,8250.000000000000,8250.000000000000,1,1407.383850000000,833.333333333300,0.000000000000
4,00:30-00:40,1409.073950000000,1409.073950000000,833.333333333333,833.333333333333,0.000000000000,0.000000000000,0.000000000000,0.000000000000,9000.000000000000,9000.000000000000,1,1409.073950000000,833.333333333300,0.000000000000
5,00:40-00:50,1409.804550000000,1409.804550000000,833.333333333333,833.333333333333,0.000000000000,0.000000000000,0.000000000000,0.000000000000,9750.000000000000,9750.000000000000,1,1409.804550000000,833.333333333300,0.000000000000
6,00:50-01:00,576.640016666667,576.640016666667,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,9750.000000000000,9750.000000000000,0,576.640016666700,0.000000000000,0.000000000000
7,01:00-01:10,577.859700000000,577.859700000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,9750.000000000000,9750.000000000000,0,577.859700000000,0.000000000000,0.000000000000
8,01:10-01:20,577.993866666667,577.993866666667,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,9750.000000000000,9750.000000000000,0,577.993866666700,0.000000000000,0.000000000000
9,01:20-01:30,911.161383333333,911.161383333333,333.333333333333,333.333333333333,0.000000000000,0.000000000000,0.000000000000,0.000000000000,10050.000000000000,10050.000000000000,1,911.161383333300,333.333333333300,0.000000000000
10,01:30-01:40,580.415450000000,580.415450000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,10050.000000000000,10050.000000000000,0,580.415450000000,0.000000000000,0.000000000000
11,01:40-01:50,582.514016666667,582.514016666667,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,10050.000000000000,10050.000000000000,0,582.514016666700,0.000000000000,0.000000000000
12,01:50-02:00,583.074050000000,583.074050000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,10050.000000000000,10050.000000000000,0,583.074050000000,0.000000000000,0.000000000000
13,02:00-02:10,584.204916666667,584.204916666667,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,10050.000000000000,10050.000000000000,0,584.204916666700,0.000000000000,0.000000000000
14,02:10-02:20,585.439783333333,585.439783333333,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,10050.000000000000,10050.000000000000,0,585.439783333300,0.000000000000,0.000000000000
15,02:20-02:30,586.144750000000,586.144750000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,10050.000000000000,10050.000000000000,0,586.144750000000,0.000000000000,0.000000000000
16,02:30-02:40,586.320766666667,586.320766666667,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,10050.000000000000,10050.000000000000,0,586.320766666700,0.000000000000,0.000000000000
17,02:40-02:50,586.425300000000,586.425300000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,10050.000000000000,10050.000000000000,0,586.425300000000,0.000000000000,0.000000000000
18,02:50-03:00,586.849600000000,586.849600000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,10050.000000000000,10050.000000000000,0,586.849600000000,0.000000000000,0.000000000000
19,03:00-03:10,587.821016666667,587.821016666667,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,10050.000000000000,10050.000000000000,0,587.821016666700,0.000000000000,0.000000000000
20,03:10-03:20,589.547566666667,589.547566666667,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,10050.000000000000,10050.000000000000,0,589.547566666700,0.000000000000,0.000000000000
21,03:20-03:30,590.813466666667,590.813466666667,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,10050.000000000000,10050.000000000000,0,590.813466666700,0.000000000000,0.000000000000
22,03:30-03:40,590.213116666667,590.213116666667,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,10050.000000000000,10050.000000000000,0,590.213116666700,0.000000000000,0.000000000000
23,03:40-03:50,591.066266666667,591.066266666667,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,10050.000000000000,10050.000000000000,0,591.066266666700,0.000000000000,0.000000000000
24,03:50-04:00,593.367833333333,593.367833333333,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,10050.000000000000,10050.000000000000,0,593.367833333300,0.000000000000,0.000000000000
25,04:00-04:10,593.659683333333,593.659683333333,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,10050.000000000000,10050.000000000000,0,593.659683333300,0.000000000000,0.000000000000
26,04:10-04:20,592.786383333333,592.786383333333,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,10050.000000000000,10050.000000000000,0,592.786383333300,0.000000000000,0.000000000000
27,04:20-04:30,593.337866666667,593.337866666667,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,10050.000000000000,10050.000000000000,0,593.337866666700,0.000000000000,0.000000000000
28,04:30-04:40,596.675766666667,596.675766666667,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,10050.000000000000,10050.000000000000,0,596.675766666700,0.000000000000,0.000000000000
29,04:40-04:50,597.780250000000,597.780250000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,10050.000000000000,10050.000000000000,0,597.780250000000,0.000000000000,0.000000000000
30,04:50-05:00,595.162500000000,595.162500000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,10050.000000000000,10050.000000000000,0,595.162500000000,0.000000000000,0.000000000000
31,05:00-05:10,590.606500000000,590.606500000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,10050.000000000000,10050.000000000000,0,590.606500000000,0.000000000000,0.000000000000
32,05:10-05:20,589.485183333333,589.485183333333,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,10050.000000000000,10050.000000000000,0,589.485183333300,0.000000000000,0.000000000000
33,05:20-05:30,578.455450000000,578.455450000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,10050.000000000000,10050.000000000000,0,578.455450000000,0.000000000000,0.000000000000
34,05:30-05:40,1383.659783333333,1383.659783333333,833.333333333333,833.333333333333,0.000000000000,0.000000000000,0.000000000000,0.000000000000,10800.000000000000,10800.000000000000,1,1383.659783333300,833.333333333300,0.000000000000
35,05:40-05:50,591.140200000000,591.140200000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,10800.000000000000,10800.000000000000,0,591.140200000000,0.000000000000,0.000000000000
36,05:50-06:00,0.000000000000,0.000000000000,0.000000000000,0.000000000000,668.253883333333,668.253883333333,0.000000000000,0.000000000000,10057.495685185186,10057.495685185186,0,0.000000000000,0.000000000000,668.253883333300
37,06:00-06:10,0.000000000000,0.000000000000,0.000000000000,0.000000000000,655.455333333333,655.455333333333,0.000000000000,0.000000000000,9329.211981481481,9329.211981481481,0,0.000000000000,0.000000000000,655.455333333300
38,06:10-06:20,0.000000000000,0.000000000000,0.000000000000,0.000000000000,616.504033333333,616.504033333333,0.000000000000,0.000000000000,8644.207500000000,8644.207500000000,0,0.000000000000,0.000000000000,616.504033333300
39,06:20-06:30,0.000000000000,0.000000000000,0.000000000000,0.000000000000,591.454483333333,591.454483333333,0.000000000000,0.000000000000,7987.035851851852,7987.035851851852,0,0.000000000000,0.000000000000,591.454483333300
40,06:30-06:40,0.000000000000,0.000000000000,0.000000000000,0.000000000000,557.486866666667,557.486866666667,0.000000000000,0.000000000000,7367.606000000001,7367.606000000001,0,0.000000000000,0.000000000000,557.486866666700
41,06:40-06:50,0.000000000000,0.000000000000,0.000000000000,0.000000000000,529.239700000000,529.239700000000,0.000000000000,0.000000000000,6779.561888888889,6779.561888888889,0,0.000000000000,0.000000000000,529.239700000000
42,06:50-07:00,0.000000000000,0.000000000000,0.000000000000,0.000000000000,502.470716666667,502.470716666667,0.000000000000,0.000000000000,6221.261092592593,6221.261092592593,0,0.000000000000,0.000000000000,502.470716666700
43,07:00-07:10,0.000000000000,0.000000000000,0.000000000000,0.000000000000,455.443566666667,455.443566666667,0.000000000000,0.000000000000,5715.212685185185,5715.212685185185,0,0.000000000000,0.000000000000,455.443566666700
