date,issue_time,issue_slot,target_slot,interval,original_plan_kwh,new_effective_plan_kwh,change_kwh,train_end_date
2025-02-01,00:00,0,1,00:00-00:10,1292.6277516666667,1292.6277516666667,0.0,2025-01-31
2025-02-01,00:00,0,2,00:10-00:20,1291.7687883333333,1291.7687883333333,0.0,2025-01-31
2025-02-01,00:00,0,3,00:20-00:30,1302.4055555555556,1302.4055555555556,0.0,2025-01-31
2025-02-01,00:00,0,4,00:30-00:40,1310.26814,1310.26814,0.0,2025-01-31
2025-02-01,00:00,0,5,00:40-00:50,1333.5785044444444,1333.5785044444444,0.0,2025-01-31
2025-02-01,00:00,0,6,00:50-01:00,509.96927777777773,509.96927777777773,0.0,2025-01-31
2025-02-01,00:00,0,7,01:00-01:10,506.09495499999997,506.09495499999997,0.0,2025-01-31
2025-02-01,00:00,0,8,01:10-01:20,487.31025,487.31025,0.0,2025-01-31
2025-02-01,00:00,0,9,01:20-01:30,823.3823888888888,823.3823888888888,0.0,2025-01-31
2025-02-01,00:00,0,10,01:30-01:40,506.04836722222217,506.04836722222217,0.0,2025-01-31
2025-02-01,00:00,0,11,01:40-01:50,519.2065133333333,519.2065133333333,0.0,2025-01-31
2025-02-01,00:00,0,12,01:50-02:00,533.9703333333333,533.9703333333333,0.0,2025-01-31
2025-02-01,00:00,0,13,02:00-02:10,509.7114748888889,509.7114748888889,0.0,2025-01-31
2025-02-01,00:00,0,14,02:10-02:20,521.8305466666667,521.8305466666667,0.0,2025-01-31
2025-02-01,00:00,0,15,02:20-02:30,525.4116444444445,525.4116444444445,0.0,2025-01-31
2025-02-01,00:00,0,16,02:30-02:40,513.643115,513.643115,0.0,2025-01-31
2025-02-01,00:00,0,17,02:40-02:50,525.0807216666667,525.0807216666667,0.0,2025-01-31
2025-02-01,00:00,0,18,02:50-03:00,545.4999,545.4999,0.0,2025-01-31
2025-02-01,00:00,0,19,03:00-03:10,535.8597966666667,535.8597966666667,0.0,2025-01-31
2025-02-01,00:00,0,20,03:10-03:20,531.3486126666668,531.3486126666668,0.0,2025-01-31
2025-02-01,00:00,0,21,03:20-03:30,532.139,532.139,0.0,2025-01-31
2025-02-01,00:00,0,22,03:30-03:40,522.8227272222223,522.8227272222223,0.0,2025-01-31
2025-02-01,00:00,0,23,03:40-03:50,540.7685527777777,540.7685527777777,0.0,2025-01-31
2025-02-01,00:00,0,24,03:50-04:00,567.0755555555555,567.0755555555555,0.0,2025-01-31
2025-02-01,00:00,0,25,04:00-04:10,549.745503888889,549.745503888889,0.0,2025-01-31
2025-02-01,00:00,0,26,04:10-04:20,541.5228483333333,541.5228483333333,0.0,2025-01-31
2025-02-01,00:00,0,27,04:20-04:30,563.9982222222222,563.9982222222222,0.0,2025-01-31
