date,train_end_date,residual_history_start_date,residual_history_end_date,soc_open_kwh,soc_close_kwh,original_purchase_kwh,effective_purchase_kwh,upward_adjustment_kwh,downward_adjustment_kwh,emergency_purchase_kwh,base_plan_cost_yuan,downward_credit_yuan,upward_adjustment_cost_yuan,normal_settlement_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,surplus_discard_kwh,net_adjustment_cost_yuan,gross_adjustment_fee_yuan,settlement_kind,downward_component_yuan
2025-02-01,2025-01-31,2025-01-02,2025-01-31,6000.0,9758.454871193826,51247.516323716874,51247.516323716874,0.0,0.0,0.0,26892.026562188967,0.0,0.0,26892.026562188967,0.0,26892.026562188967,22541.473640750344,14875.984264933333,9203.85101456653,0.0,0.0,refund,0.0
2025-02-02,2025-02-01,2025-01-02,2025-02-01,9758.454871193826,9532.116331246914,93024.30530163649,93024.30530163649,0.0,0.0,0.0,59158.89159079037,0.0,0.0,59158.89159079037,0.0,59158.89159079037,21216.46966343347,17389.045113333334,10840.602801536352,0.0,0.0,refund,0.0
2025-02-03,2025-02-02,2025-01-02,2025-02-02,9532.116331246914,9410.58513116914,95680.99169039231,95680.99169039231,0.0,0.0,0.0,60859.01072747827,0.0,0.0,60859.01072747827,0.0,60859.01072747827,21246.833059858713,17319.312858555553,11536.554989089156,0.0,0.0,refund,0.0
2025-02-04,2025-02-03,2025-01-02,2025-02-03,9410.58513116914,9481.523380665434,97935.24928936761,97935.24928936761,0.0,0.0,0.0,62798.0750803036,0.0,0.0,62798.0750803036,0.0,62798.0750803036,21859.706738260626,17642.518033444445,12523.196634551441,0.0,0.0,refund,0.0
2025-02-05,2025-02-04,2025-01-02,2025-02-04,9481.523380665434,9483.27930116173,92541.39275264746,92541.39275264746,0.0,0.0,0.0,58885.58807965829,0.0,0.0,58885.588079658286,0.0,58885.588079658286,22537.382094652938,18253.69916822222,7509.282842883409,0.0,0.0,refund,0.0
2025-02-06,2025-02-05,2025-01-02,2025-02-05,9483.27930116173,9425.868090053087,98291.45188204251,98291.45188204251,0.0,0.0,0.0,62993.567368590826,0.0,0.0,62993.567368590826,0.0,62993.567368590826,21297.66165459808,17302.776030222223,14025.509040999994,0.0,0.0,refund,0.0
2025-02-07,2025-02-06,2025-01-02,2025-02-06,9425.868090053087,9277.328113425921,47795.3018282332,47795.3018282332,0.0,0.0,0.0,25055.983530227713,0.0,0.0,25055.98353022771,0.0,25055.98353022771,18545.145696751708,15155.253993333336,12599.730458148157,0.0,0.0,refund,0.0
2025-02-08,2025-02-07,2025-01-02,2025-02-07,9277.328113425921,9263.466453751844,39017.33177416461,39017.33177416461,0.0,0.0,0.0,20341.84105723853,0.0,0.0,20341.84105723853,0.0,20341.84105723853,18631.936101596722,15104.343736000003,3912.5766919012267,0.0,0.0,refund,0.0
2025-02-09,2025-02-08,2025-01-02,2025-02-08,9263.466453751844,9169.035099271607,92465.70954294241,92465.70954294241,0.0,0.0,0.0,58690.91760265306,0.0,0.0,58690.917602653055,0.0,58690.917602653055,21177.974849754457,17239.14784733333,8971.466573854603,0.0,0.0,refund,0.0
2025-02-10,2025-02-09,2025-01-02,2025-02-09,9169.035099271607,9121.483905364197,88597.13909280933,88597.13909280933,0.0,0.0,0.0,55829.35970004559,0.0,0.0,55829.35970004559,0.0,55829.35970004559,20394.34759030863,16562.217622666663,10438.371541834029,0.0,0.0,refund,0.0
