month,alpha_0_total_cost_yuan,alpha_0_emergency_kwh,alpha_0_discard_kwh,alpha_0_5_total_cost_yuan,alpha_0_5_emergency_kwh,alpha_0_5_discard_kwh,alpha_1_total_cost_yuan,alpha_1_emergency_kwh,alpha_1_discard_kwh,alpha_0_5_minus_0_cost_yuan,alpha_1_minus_0_cost_yuan
2025-02,1223898.8376885774,313.595764333333,117763.59325839943,1218363.5336739284,351.71843838737425,106219.26237781263,1217285.8543117936,717.2501609906618,98529.91338901213,-5535.304014649009,-6612.9833767837845
2025-03,1113158.7386288596,129.025618849998,154526.19371676678,1115874.0337931598,130.83350551521144,154820.70345249638,1125864.7160264666,767.2319913043287,158152.82131231015,2715.295164300129,12705.977397606941
2025-04,915803.7527893727,109.57021923333022,192481.66242874146,924737.542940631,9.902222429716922,200996.61273905198,937474.4894638679,0.0,211300.95056136086,8933.790151258348,21670.736674495158
2025-05,986515.2039412368,10404.38672116515,235827.0930931994,982783.0215759086,9480.617419409018,237498.28155475625,979121.3329405637,8497.184847895598,239184.8735052895,-3732.18236532819,-7393.871000673156
2025-06,1326771.3901970454,6400.415724561104,134681.04523444583,1313257.3848989462,3743.4590884417516,133690.98197544005,1307024.5416526871,1455.3992519797034,135853.1054412521,-13514.005298099248,-19746.848544358276
2025-07,1532372.6820602433,11538.57265856111,188337.15819259503,1485655.1073669272,3267.8611271758123,177108.92823456525,1510085.8424339367,2103.4323556655104,187117.92564062885,-46717.57469331613,-22286.839626306668
2025-08,1366138.8177561502,4.538833333333173,382906.5655677323,1336133.0146522562,202.57208955963563,333401.80050227063,1327779.722445446,796.7096387155358,306545.2551920146,-30005.803103893995,-38359.095310704084
2025-09,1183848.5769464895,693.648549243963,325149.5329216704,1167222.6090666582,523.5712611111105,293169.2259981525,1162953.6376331365,463.679869452832,275147.6036975343,-16625.967879831325,-20894.93931335304
2025-10,1118599.7277304532,2497.3567222676074,162561.3187765398,1120544.552150611,1458.4364916049356,169080.30907518166,1133998.5862016645,621.8306644716068,183424.46717112494,1944.82442015782,15398.858471211279
2025-11,1263055.5450519496,1491.6967138281282,95889.8755927404,1264168.5824849624,1113.3246603316757,98016.09785723622,1266482.7303738804,783.3878732848206,100334.8906323963,1113.0374330128543,3427.185321930796
2025-12,1689990.2059617727,12164.234527300001,64696.72117355385,1671239.5089565618,3057.384471973917,73885.18843263394,1694744.141990743,239.4872249128598,94786.96301492534,-18750.69700521091,4753.9360289704055
