date,train_end_date,residual_history_start_date,residual_history_end_date,soc_open_kwh,soc_close_kwh,original_purchase_kwh,effective_purchase_kwh,upward_adjustment_kwh,downward_adjustment_kwh,emergency_purchase_kwh,base_plan_cost_yuan,downward_credit_yuan,upward_adjustment_cost_yuan,normal_settlement_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,surplus_discard_kwh
2025-02-01,2025-01-31,2025-01-02,2025-01-31,6000.0,9434.1388709485,51247.516323716874,46435.360585269875,0.0,4812.155738446996,0.0,26892.026562188967,1457.8437290550796,0.0,25434.18283313389,0.0,25434.18283313389,22479.96562875771,15118.047175440091,4695.266198618928
2025-02-02,2025-02-01,2025-01-02,2025-02-01,9434.1388709485,9256.564879302354,93384.65641302019,87000.39912197122,0.0,6384.257291048958,0.0,59311.86063757275,2236.4478489927005,0.0,57075.41278858005,0.0,57075.41278858005,22030.69110437546,18004.676387025655,4618.106454621418
2025-02-03,2025-02-02,2025-01-02,2025-02-02,9256.564879302354,9252.757213971769,95987.15997033071,88259.47430860906,0.0,7727.685661721647,0.0,60988.99364068569,2801.1849730110353,0.0,58187.808667674646,0.0,58187.808667674646,22886.651258126018,18541.614417879606,3697.520968362651
2025-02-04,2025-02-03,2025-01-02,2025-02-03,9252.757213971769,9222.48929983972,98110.61364180915,89711.67843677427,0.0,8398.935205034873,0.0,62872.532995510366,3227.5215704345483,0.0,59645.01142507582,0.0,59645.01142507582,23507.7801361675,19068.543033014517,4077.57738362129
2025-02-05,2025-02-04,2025-01-02,2025-02-04,9222.48929983972,9277.69586022225,92829.20839800936,89010.23956107319,4.623662644360593,3823.5924995805353,0.0,59007.791658014474,1502.129296962983,8.056963340930551,57513.71932439241,0.0,57513.71932439241,22930.094310317527,18523.690487012922,3855.408754435254
2025-02-06,2025-02-05,2025-01-02,2025-02-05,9277.69586022225,9297.721161347998,98519.87792753083,88178.30355443136,0.0,10341.57437309946,25.672684483286503,63090.541659613875,3859.6842361602176,0.0,59230.857423453665,149.81453242116964,59380.67195587483,23000.843472440625,18612.660441663735,3544.7359914710983
2025-02-07,2025-02-06,2025-01-02,2025-02-06,9297.721161347998,8946.832710302522,47937.68730457219,41860.53480948582,7.031382551365425,6084.183877637732,0.0,25116.426924546497,1755.900364379214,12.894852460949052,23373.42141262823,0.0,23373.42141262823,18629.156012045874,15405.415975698086,6831.115106471365
2025-02-08,2025-02-07,2025-01-02,2025-02-07,8946.832710302522,9240.846670992432,39384.54888874617,39387.767870335316,110.98110445837952,107.76212286922657,0.0,20478.18877188266,33.89823240903635,133.09818493451615,20577.38872440814,0.0,20577.38872440814,18956.025146010823,15089.767803647836,3944.347811305666
2025-02-09,2025-02-08,2025-01-02,2025-02-08,9240.846670992432,9050.585586318255,92490.8426348973,88139.12709199276,0.0,4351.7155429045415,0.0,58701.59414011551,1559.9232215263391,0.0,57141.67091858916,0.0,57141.67091858916,21849.692379984725,17869.48580399439,4603.504549335759
2025-02-10,2025-02-09,2025-01-02,2025-02-09,9050.585586318255,8975.213542044365,88728.7496627575,81818.79428516125,0.0,6909.955377596247,0.0,55885.26787015957,2507.8293521575188,0.0,53377.43851800205,0.0,53377.43851800205,22785.368548173028,18523.983363866653,3230.7715175215453
2025-02-11,2025-02-10,2025-01-02,2025-02-10,8975.213542044365,8844.871095823955,89365.55861357896,82240.8507852654,0.0,7124.707828313566,0.0,56552.51778957147,2776.682039039145,0.0,53775.83575053234,0.0,53775.83575053234,22924.181782589567,18685.895445495917,2781.9673148384113
2025-02-12,2025-02-11,2025-01-02,2025-02-11,8844.871095823955,8957.334446919229,89531.62334964005,82032.33230572203,0.0,7499.291043918023,18.907033597665645,56439.31166712454,2756.167948357203,0.0,53683.14371876733,82.8033536409767,53765.94707240831,23516.530856492067,18947.17297777283,2215.145327267116
2025-02-13,2025-02-12,2025-01-02,2025-02-12,8957.334446919229,8449.377505660132,83628.4817507962,78766.76256460167,3.8293840423262964,4865.548570236839,6.543326085251579,52217.81913250425,1764.7255123032842,4.3275869062329475,50457.421207107196,28.65649659035929,50486.077703697556,21771.802740787687,18092.321467171216,3764.3456004037894
2025-02-14,2025-02-13,2025-01-02,2025-02-13,8449.377505660132,8444.037120552068,39962.67238836939,40038.50607018465,523.8733989098871,448.039717094636,0.0,20497.509885087977,99.57388041935293,691.8095997264752,21089.7456043951,0.0,21089.7456043951,18195.909514532104,14743.49305336826,6784.28779235414
2025-02-15,2025-02-14,2025-01-02,2025-02-14,8444.037120552068,8851.403313577835,40554.87895071581,39431.36704575857,64.02142922303528,1187.5333341802757,0.0,21082.969412673214,382.06859873570943,116.48754891417158,20817.388362851678,0.0,20817.388362851678,18277.243859538095,14437.937952502667,6311.970038723141
2025-02-16,2025-02-15,2025-01-02,2025-02-15,8851.403313577835,8989.787301257955,89103.51045146908,81221.26943502417,166.70295790703022,8048.94397435194,12.125724569102204,55946.01712807181,2907.0965029131658,320.7578375816653,53359.67846274031,53.1046107503831,53412.783073490704,23007.996999381714,18511.931980587084,1359.9510407986322
2025-02-17,2025-02-16,2025-01-02,2025-02-16,8989.787301257955,8791.212907291072,88927.93942754602,76858.19221260048,0.0,12069.747214945557,0.0,55358.25011128117,3939.9404521101023,0.0,51418.30965917108,0.0,51418.30965917108,21138.809558701614,17301.152697118494,1836.6721843506868
2025-02-18,2025-02-17,2025-01-02,2025-02-17,8791.212907291072,9060.428186919187,79800.9996712349,78034.4320303094,184.40561553934975,1950.973256464843,11.5873776576816,49497.40925425772,636.9139429956042,347.9658298600369,49208.46114112215,51.086319785149875,49259.5474609073,21742.143078296285,17368.842141754685,1581.3306880921402
2025-02-19,2025-02-18,2025-01-02,2025-02-18,9060.428186919187,8640.756532575093,79795.69076475245,79154.27483719098,196.34317624268658,837.7591038041498,67.99942285871475,49669.15911775382,315.4298677778715,253.2685461265437,49606.9977961025,297.8034724097413,49904.80126851224,22509.284872402743,18610.225235555903,2443.8872398695275
2025-02-20,2025-02-19,2025-01-02,2025-02-19,8640.756532575093,8142.871977137736,82493.65678918954,77529.10202551927,168.8361862052185,5133.390949875489,23.211559130374212,51162.625723573365,1720.1686195178695,247.58133357072546,49690.03843762622,108.72294296667282,49798.7613805929,21034.04109315781,17485.669385351448,3010.808143509945
2025-02-21,2025-02-20,2025-01-02,2025-02-20,8142.871977137736,7909.417755481941,35515.948970704296,35734.7098124393,237.3089964814956,18.54815474649149,0.0,18332.243545778227,4.464350548624292,366.1129716267594,18693.892166856363,0.0,18693.892166856363,17204.915317024377,14146.090206279961,7115.622668361553
2025-02-22,2025-02-21,2025-01-02,2025-02-21,7909.417755481941,9082.533961189865,37056.13174629396,36947.10365881725,336.94259330425575,445.97068078097095,0.0,19285.079541115367,156.12493624268296,553.6343542029438,19682.588959075627,0.0,19682.588959075627,18864.286259167555,14224.267284788591,4462.32180110495
2025-02-23,2025-02-22,2025-01-02,2025-02-22,9082.533961189865,8781.704241495832,81392.96397789224,77131.07701344218,101.81139764895147,4363.698362099016,15.205583913850887,50325.38307375065,1507.070726686407,165.53536889101966,48983.84771595527,71.22295505247756,49055.07067100775,22353.280903079954,18376.90427921939,1638.052290162121
2025-02-24,2025-02-23,2025-01-02,2025-02-23,8781.704241495832,9000.78163426479,78380.03612436402,74590.24254408017,137.7219103607261,3927.5154906445796,52.39974177777788,48691.12323140683,1274.6056623958568,264.56309732219546,47681.080666333175,237.51779958100047,47918.59846591417,21031.044138914083,16837.97609902835,2246.540629305544
2025-02-25,2025-02-24,2025-01-02,2025-02-24,9000.78163426479,8814.29103624942,80765.5395640668,72609.79934595719,73.22899407725004,8228.969212186872,58.91244548808697,49952.51132801738,2761.814026020144,119.09159355572396,47309.78889555297,261.6279050756662,47571.416800628635,21270.55702904525,17396.99273174048,2973.824260807164
2025-02-26,2025-02-25,2025-01-02,2025-02-25,8814.29103624942,9062.88558660186,74149.42752534154,75694.25256999015,1565.9770117637079,21.151967115084403,24.94054050388752,45280.1286749889,4.783572539054259,1549.6135531272785,46824.958655577124,109.2270971367754,46934.18575271389,22395.768507443747,17916.837395712242,2425.4139654291967
2025-02-27,2025-02-26,2025-01-02,2025-02-26,9062.88558660186,7392.933863906739,73431.71079170439,71861.61573178956,97.97390800531366,1668.068967920135,34.2129983216945,45470.131232917665,485.12242567307896,161.41393028240654,45146.422737527,154.5590278860774,45300.981765413075,21040.253483201355,18545.56187181871,2444.5529187286074
2025-02-28,2025-02-27,2025-01-03,2025-02-27,7392.933863906739,7182.684547665327,34192.0027900148,34057.619671796165,12.30791473447158,146.6910329531047,0.0,17819.213569775595,68.17012538677486,19.83174301165406,17770.875187400474,0.0,17770.875187400474,17000.193518275948,13959.381134420793,7724.21373794101
2025-03-01,2025-02-28,2025-01-04,2025-02-28,7182.684547665327,8658.2435925909,41574.9607063938,39943.84405986915,60.644640959839535,1691.7612874844926,0.0,21156.512424058295,604.9458829309413,111.21620705624971,20662.782748183607,0.0,20662.782748183607,18159.05915284356,13380.834773370267,11506.853747062527
2025-03-02,2025-03-01,2025-01-05,2025-03-01,8658.2435925909,8560.472845562814,84389.30460267677,79400.446814233,329.28723763992775,5318.145026083697,35.60698781735243,52309.45584836937,1782.0457928141168,433.3780621912464,50960.7881177465,173.02563199434957,51133.81374974085,22593.748241952908,18388.92974830713,2872.9282417379127
2025-03-03,2025-03-02,2025-01-06,2025-03-02,8560.472845562814,8584.350356794492,86380.33888770799,78464.7268210822,568.0552827743555,8483.667349400144,26.15064154424433,53544.63892209224,2877.0712836200864,885.1633953413542,51552.73103381351,125.31327206044351,51678.044305873955,23209.482772040188,18778.191285244047,2042.4393424969683
2025-03-04,2025-03-03,2025-01-07,2025-03-03,8584.350356794492,8585.656077292648,77136.61957775921,74772.44599527458,579.5177146698383,2943.691297154453,0.0,47479.76227289472,922.9766071226986,894.8889076121189,47451.67457338414,0.0,47451.67457338414,21499.807170376556,17413.668659556664,1486.8495511213587
2025-03-05,2025-03-04,2025-01-08,2025-03-04,8585.656077292648,8687.728025186976,80961.6774654773,72354.64234559562,608.1023753962249,9215.137495277897,0.0,49859.94785366612,3071.2154347090222,1180.7162900354053,47969.44870899251,0.0,47969.44870899251,21449.333717968744,17282.09555844977,2056.9321694099967
2025-03-06,2025-03-05,2025-01-09,2025-03-05,8687.728025186976,7031.69726504918,73841.42371769348,69992.337194797,155.21621063446366,4004.3027335309343,0.0,45535.15027246494,1229.594117487216,299.901001377379,44605.4571563551,0.0,44605.4571563551,19680.980925630465,17432.022233884694,1802.7243697179078
2025-03-07,2025-03-06,2025-01-10,2025-03-06,7031.69726504918,6361.640253041018,34288.14438048719,32556.92939617682,33.67634296309012,1764.891327273467,0.0,18157.70820865484,723.7644346079206,61.75904536001097,17495.70281940693,0.0,17495.70281940693,15075.118447110406,12813.897252966772,9373.422668699848
2025-03-08,2025-03-07,2025-01-11,2025-03-07,6361.640253041018,8954.707937160378,35408.71406444002,35331.18016306618,25.177630593871015,102.71153196771573,0.0,18155.13512816414,46.289310980155335,45.88718280981289,18154.732999993797,0.0,18154.732999993797,18428.111176972663,12593.00913764043,10432.938607067283
2025-03-09,2025-03-08,2025-01-12,2025-03-08,8954.707937160378,8767.913478182356,78334.23043157763,69074.86958097195,0.0,9259.360850605679,0.0,47894.20288246052,2773.619242550729,0.0,45120.58363990979,0.0,45120.58363990979,20923.355059146306,17116.032610988725,1934.0220828143733
