month,none_total_cost_yuan,state_only_total_cost_yuan,pv_only_total_cost_yuan,load_only_total_cost_yuan,state_pv_total_cost_yuan,all_three_total_cost_yuan
2025-02,1256318.863112488,1246858.4299478484,1230682.0493732344,1246646.6377734432,1223898.8376885774,1217285.8543117936
2025-03,1173256.8701098037,1136040.8706776837,1126102.7338626029,1192262.6882036706,1113158.7386288596,1125864.7160264666
2025-04,948571.0711686676,921495.8580362091,922777.9965042538,957646.7312181833,915803.7527893727,937474.4894638679
2025-05,1013999.674561263,986677.8068039146,1012160.5146760844,1008117.2071793438,986515.2039412368,979121.3329405637
2025-06,1358026.7885577672,1334049.2720762845,1371363.1133808494,1355712.4511355879,1326771.3901970454,1307024.5416526871
2025-07,1649874.4768079296,1532572.4525369187,1657228.922682539,1564803.1474921019,1532372.6820602433,1510085.8424339367
2025-08,1382503.811486538,1373931.1058035342,1376652.4313765517,1365073.7200364256,1366138.8177561502,1327779.722445446
2025-09,1208732.2462922344,1192859.909561127,1194769.3905492323,1187739.7392660677,1183848.5769464895,1162953.6376331365
2025-10,1181571.864918623,1143166.457275502,1124817.1363853607,1217590.7444333783,1118599.7277304532,1133998.5862016645
2025-11,1281729.9797836517,1262846.277401243,1276439.2678656676,1290566.7977818986,1263055.5450519496,1266482.7303738804
2025-12,1751257.6739508414,1692112.725076898,1757013.0128426356,1737522.920815099,1689990.2059617727,1694744.141990743
