date,train_end_date,residual_history_start_date,residual_history_end_date,soc_open_kwh,soc_close_kwh,original_purchase_kwh,effective_purchase_kwh,upward_adjustment_kwh,downward_adjustment_kwh,emergency_purchase_kwh,base_plan_cost_yuan,downward_credit_yuan,upward_adjustment_cost_yuan,normal_settlement_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,surplus_discard_kwh
2025-02-01,2025-01-31,2025-01-02,2025-01-31,6000.0,9436.43453946702,51247.516323716874,49350.01780014358,0.0,1897.498523573297,0.0,26892.026562188967,590.0761461553888,0.0,26301.95041603358,0.0,26301.95041603358,22479.627995826108,15115.707591098826,7607.921462082964
2025-02-02,2025-02-01,2025-01-02,2025-02-01,9436.43453946702,9256.564879302354,93382.10567022182,91323.52314572694,0.0,2058.5825244948846,0.0,59310.777847254845,856.640568974299,0.0,58454.13727828055,0.0,58454.13727828055,21885.905685275986,17889.46629922175,8970.805809672704
2025-02-03,2025-02-02,2025-01-02,2025-02-02,9256.564879302354,9232.434430227357,95987.15997033071,94440.48619760966,0.0,1546.6737727210461,0.0,60988.99364068569,656.12023555019,0.0,60332.8734051355,0.0,60332.8734051355,22137.99684532339,17953.494848879447,10039.06770116572
2025-02-04,2025-02-03,2025-01-02,2025-02-03,9232.434430227357,9213.060314441986,98133.19451263627,95767.8371353112,0.0,2365.357377325069,0.0,62882.12534943773,1007.2778059440118,0.0,61874.84754349372,0.0,61874.84754349372,22636.252765897036,18352.801444583438,10289.5218639976
2025-02-05,2025-02-04,2025-01-02,2025-02-04,9213.060314441986,9275.062508054782,92839.6850484513,91295.22794934029,0.0,1544.457099110994,13.202927516906584,59012.24213912221,649.3252886226675,0.0,58362.91685049954,76.68920448195189,58439.60605498149,23186.65998042601,18725.392609893555,6098.736522991418
2025-02-06,2025-02-05,2025-01-02,2025-02-05,9275.062508054782,9231.467962408946,98522.80387438356,96727.93235991256,0.0,1794.871514471014,7.675885208599084,63091.78460183692,763.1989181054474,0.0,62328.585683731464,44.838683446031546,62373.4243671775,21985.534945804626,17847.518397182997,12326.534479832862
2025-02-07,2025-02-06,2025-01-02,2025-02-06,9231.467962408946,8974.60765371775,48011.30197006002,46250.94815074908,29.5749760695154,1789.9287953804594,0.0,25147.69843444573,559.3003271195709,54.23754861388429,24642.63565594004,0.0,24642.63565594004,18695.444539093853,15374.484354488095,11124.308299476656
2025-02-08,2025-02-07,2025-01-02,2025-02-07,8974.60765371775,8993.232215349293,39353.687840507024,38986.791266213186,35.79989063346187,402.69646492729703,31.325857124133222,20466.730064671465,179.9577775525343,65.65341943270572,20352.425706551636,191.49496459982637,20543.920671151463,18910.827264826108,15301.007979040749,3831.135120885294
2025-02-09,2025-02-08,2025-01-02,2025-02-08,8993.232215349293,9050.585586318255,92765.96980783413,91745.57870476015,0.0,1020.3911030739692,0.0,58818.468163179066,435.96097002071906,0.0,58382.50719315835,0.0,58382.50719315835,21580.34117330287,17428.458316503264,8038.279881293878
2025-02-10,2025-02-09,2025-01-02,2025-02-09,9050.585586318255,8975.213542044365,88728.7496627575,87552.16957877288,0.0,1176.5800839846124,0.0,55885.26787015957,489.68275943637417,0.0,55395.5851107232,0.0,55395.5851107232,20598.43484352906,16752.567063105045,9379.664215015535
2025-02-11,2025-02-10,2025-01-02,2025-02-10,8975.213542044365,8844.871095823955,89365.55861357896,87982.13851096122,0.0,1383.4201026177484,0.0,56552.51778957147,558.8755039858811,0.0,55993.64228558559,0.0,55993.64228558559,22648.02242728234,18462.206367697065,8575.725318042605
2025-02-12,2025-02-11,2025-01-02,2025-02-11,8844.871095823955,8949.574114515455,89531.62334964005,88119.23713951517,0.0,1412.3862101248637,0.0,56439.31166712454,571.2458929732494,0.0,55868.065774151284,0.0,55868.065774151284,21517.380700597867,17334.84565066192,8669.965956245896
2025-02-13,2025-02-12,2025-01-02,2025-02-12,8949.574114515455,8449.377505660132,83637.10434235595,82715.83351354979,0.0,921.270828806154,0.0,52221.48200939883,379.50653776718895,0.0,51841.97547163164,0.0,51841.97547163164,19476.62079698048,16226.239793523982,8135.973493426621
2025-02-14,2025-02-13,2025-01-02,2025-02-13,8449.377505660132,8152.713856115169,39962.67238836939,39372.69220744402,7.254517462714659,597.2346983880833,11.069552911934522,20497.509885087977,183.7791451208742,13.304059574872413,20327.034799541976,67.66817695065573,20394.702976492634,18238.652711609015,15040.305980993773,6383.6132130740525
2025-02-15,2025-02-14,2025-01-02,2025-02-14,8152.713856115169,8826.477477377768,40878.57146675681,40575.86822462618,31.61207871443139,334.3153208450568,0.0,21220.429693389546,99.67223368769532,57.05204101644291,21177.809500718296,0.0,21177.809500718296,18600.93637557909,14460.37120508273,7155.211954129821
2025-02-16,2025-02-15,2025-01-02,2025-02-15,8826.477477377768,8873.249444838435,89131.20582502469,88721.24937186165,0.0,409.95645316305263,0.0,55957.782122758246,164.40780873237696,0.0,55793.374314025874,0.0,55793.374314025874,21647.184096162484,17492.124347177014,9188.81052287618
2025-02-17,2025-02-16,2025-01-02,2025-02-16,8873.249444838435,8791.212907291072,89057.42593467882,88422.3335721308,0.0,635.0923625480357,0.0,55413.25597951119,247.02400008177642,0.0,55166.231979429416,0.0,55166.231979429416,19199.69906811793,15625.589128968151,13664.360466314347
2025-02-18,2025-02-17,2025-01-02,2025-02-17,8791.212907291072,9025.160328745465,79800.9996712349,79417.55868504435,2.248132390064029,385.68911858060943,12.7897999999999,49497.40925425772,141.40133729771912,3.1469357196116277,49359.15485267961,56.35232843333287,49415.507181112946,21791.34548862816,17440.437166479856,2988.0523795627014
2025-02-19,2025-02-18,2025-01-02,2025-02-18,9025.160328745465,8634.039851212518,79834.87727383437,79655.89500976313,17.20927202865232,196.19153609989434,0.0,49685.80554681182,71.91142781778962,27.6196989271885,49641.51381792122,0.0,49641.51381792122,22117.878951194532,18267.490380247218,2926.1790554824765
