date,train_end_date,residual_history_start_date,residual_history_end_date,soc_open_kwh,soc_close_kwh,original_purchase_kwh,effective_purchase_kwh,upward_adjustment_kwh,downward_adjustment_kwh,emergency_purchase_kwh,base_plan_cost_yuan,downward_credit_yuan,upward_adjustment_cost_yuan,normal_settlement_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,surplus_discard_kwh
2025-02-01,2025-01-31,2025-01-02,2025-01-31,6000.0,9758.454871193826,51247.516323716874,48101.289695077634,0.0,3146.226628639234,0.0,26892.026562188967,934.6906533328417,0.0,25957.335908856126,0.0,25957.335908856126,22541.473640750344,14875.984264933333,6057.624385927296
2025-02-02,2025-02-01,2025-01-02,2025-02-01,9758.454871193826,9532.116331246914,93024.30530163649,89563.53053019011,99.90427362222067,3560.6790450685903,0.0,59158.89159079037,1206.4365579351552,139.20398342002716,58091.659016275255,0.0,58091.659016275255,21660.047395257887,17748.343076111116,7295.54826104334
2025-02-03,2025-02-02,2025-01-02,2025-02-02,9532.116331246914,9410.58513116914,95680.99169039231,89782.7325972963,0.0,5898.25909309602,0.0,60859.01072747827,2097.3640618236186,0.0,58761.646665654654,0.0,58761.646665654654,22126.286442437584,18031.670098444443,5471.199753303152
2025-02-04,2025-02-03,2025-01-02,2025-02-03,9410.58513116914,9481.523380665434,97935.24928936761,92948.6084419479,70.01899040333495,5056.659837823045,0.0,62798.0750803036,1884.474497292252,98.07335234111383,61011.67393535247,0.0,61011.67393535247,22379.727926189295,18063.735195666664,7437.751761425285
2025-02-05,2025-02-04,2025-01-02,2025-02-04,9481.523380665434,9483.27930116173,92541.39275264746,91724.71222530864,507.1654702222221,1323.845997561045,0.0,58885.58807965829,520.3209626683845,610.5160066623663,58975.78312365227,0.0,58975.78312365227,22238.835539920434,18011.876458888888,6749.3261609437595
2025-02-06,2025-02-05,2025-01-02,2025-02-05,9483.27930116173,9425.868090053087,98291.45188204251,90740.3835649314,0.0,7551.0683171111095,7.959461000000147,62993.567368590826,2839.367188356338,0.0,60154.20018023449,46.49519143150086,60200.69537166599,22540.21404773937,18309.243468666667,6246.315230192038
2025-02-07,2025-02-06,2025-01-02,2025-02-06,9425.868090053087,9274.601607253082,47795.3018282332,43064.312080681746,0.0,4730.989747551447,0.0,25055.983530227713,1310.3993520476818,0.0,23745.58417818003,0.0,23745.58417818003,18545.145696751715,15157.707848888891,7871.194566152261
2025-02-08,2025-02-07,2025-01-02,2025-02-07,9274.601607253082,9413.562782283945,39020.361225467765,40109.783402255154,1089.4221767873837,0.0,0.0,20342.96589250739,0.0,940.0738363249368,21283.03972883233,0.0,21283.03972883233,18626.317337414275,14962.25198577778,4868.5553339519865
2025-02-09,2025-02-08,2025-01-02,2025-02-08,9413.562782283945,9169.035099271607,92298.9358445734,90017.34179185108,18.96169278777836,2300.5557455100993,0.0,58620.10998984667,850.7299182046008,25.354049631280496,57794.73412127335,0.0,57794.73412127335,21379.526286235938,17537.49120656222,6619.890745510691
2025-02-10,2025-02-09,2025-01-02,2025-02-09,9169.035099271607,9121.483905364197,88597.13909280933,83673.18376916516,20.018424701111144,4943.973748345272,0.0,55829.35970004559,1752.244037082833,27.32920568322036,54104.44486864598,0.0,54104.44486864598,22201.67907897668,18026.156128487775,5171.023235342935
2025-02-11,2025-02-10,2025-01-02,2025-02-10,9121.483905364197,8963.634111281479,89203.03598766803,83361.9461745199,0.09053722222211036,5841.18035037037,0.0,56483.478178084515,2237.7005263821065,0.12722290466650948,54245.90487460708,0.0,54245.90487460708,22077.62108915364,18024.937896888892,4088.665848921808
2025-02-12,2025-02-11,2025-01-02,2025-02-11,8963.634111281479,9108.797407475307,89399.66444357613,83320.88664516735,0.0,6078.777798408782,7.652699999999982,56383.255523828586,2192.9012351858364,0.0,54190.354288642746,33.51499964999992,54223.86928829274,22781.818782465023,18322.626247222222,3602.6106765912164
2025-02-13,2025-02-12,2025-01-02,2025-02-12,9108.797407475307,8574.512291879011,83460.18957240054,80058.39245963335,214.66640633333282,3616.463519100521,2.767724999999814,52146.328615121776,1263.7685213288821,274.80206722576594,51157.36216101867,12.121251637499185,51169.48341265616,21258.63891598766,17700.354125986672,5173.396377965703
2025-02-14,2025-02-13,2025-01-02,2025-02-13,8574.512291879011,8446.411500972841,39823.63373701509,40048.49613690398,597.4258193333335,372.5634194444445,0.0,20438.446265992665,76.61766720875,751.6001957407002,21113.428794524614,0.0,21113.428794524614,18090.179015591224,14768.335714444445,6924.851019090533
2025-02-15,2025-02-14,2025-01-02,2025-02-14,8446.411500972841,8834.47150145926,40552.24075024828,39771.132109581624,0.0,781.1086406666644,0.0,21081.84949657475,275.49460199636593,0.0,20806.354894578384,0.0,20806.354894578384,18280.25044498491,14457.74886,6668.539424596709
