date,train_end_date,residual_history_start_date,residual_history_end_date,soc_open_kwh,soc_close_kwh,normal_purchase_kwh,emergency_purchase_kwh,normal_cost_yuan,emergency_cost_yuan,total_cost_yuan,charge_kwh,discharge_kwh,surplus_discard_kwh
2025-02-01,2025-01-31,2025-01-02,2025-01-31,6000.0,10800.0,51620.66238788203,0.0,21386.794637405277,0.0,21386.794637405277,24154.74641467764,15245.344595888888,8333.08463575995
2025-02-02,2025-02-01,2025-01-02,2025-02-01,10800.0,8839.228746043209,89293.68752773662,0.0,63504.61375395879,0.0,63504.61375395879,18416.24071713992,16681.849109444447,9203.017970041146
2025-02-03,2025-02-02,2025-01-02,2025-02-02,8839.228746043209,8810.547796798768,90520.65590286558,0.0,64730.7837292578,0.0,64730.7837292578,21795.015879165978,17679.775716444445,6188.499240144036
2025-02-04,2025-02-03,2025-01-02,2025-02-03,8810.547796798768,7504.192130017285,89283.899193524,0.0,64346.206342963254,0.0,64346.206342963254,20944.456296580247,18140.729700333333,5285.3086472770865
2025-02-05,2025-02-04,2025-01-02,2025-02-04,7504.192130017285,9583.151969254322,93412.3275320192,0.0,66059.87220776093,0.0,66059.87220776093,24293.958286669396,17807.042356888887,6176.984618905358
2025-02-06,2025-02-05,2025-01-02,2025-02-05,9583.151969254322,3005.7266810123465,83992.93510063647,21.196847666666372,62075.28601308675,152.6730261738868,62227.95903926063,15649.950804696839,18596.142911222225,6689.266838161869
2025-02-07,2025-02-06,2025-01-02,2025-02-06,3005.7266810123465,7831.335217450614,50032.75870395747,0.0,20435.737715024363,0.0,20435.737715024363,24695.97792045953,15660.694432777778,9191.795549609058
2025-02-08,2025-02-07,2025-01-02,2025-02-07,7831.335217450614,10800.0,46493.08863789987,0.0,19007.771566224834,0.0,19007.771566224834,21699.975373751724,14905.181748444444,8121.132295925922
2025-02-09,2025-02-08,2025-01-02,2025-02-08,10800.0,8483.463800912346,86267.85919973388,0.0,61154.72100870276,0.0,61154.72100870276,20225.30446507407,18467.37919588889,4954.517963882034
2025-02-10,2025-02-09,2025-01-02,2025-02-09,8483.463800912346,8505.761058141976,88816.59747924004,0.0,60804.78259353217,0.0,60804.78259353217,19729.151275522632,15960.545001666665,10721.353622050756
2025-02-11,2025-02-10,2025-01-02,2025-02-10,8505.761058141976,7625.597016170368,86263.85788701646,0.0,59768.32742904322,0.0,59768.32742904322,20079.019365024687,17056.153323444443,8020.394712102878
2025-02-12,2025-02-11,2025-01-02,2025-02-11,7625.597016170368,9254.766980660494,88083.94400888975,0.0,59927.97318910627,0.0,59927.97318910627,23433.225396893005,17514.65960344222,6898.642082105624
2025-02-13,2025-02-12,2025-01-02,2025-02-12,9254.766980660494,2732.3725944567873,78496.05061459944,0.0,55046.41905114424,0.0,55046.41905114424,11903.248277194782,15511.78605211111,10775.109372849112
2025-02-14,2025-02-13,2025-01-02,2025-02-13,2732.3725944567873,6462.645812304941,42252.35264394102,0.0,17266.99632957029,0.0,17266.99632957029,22324.406957142666,14725.523739222219,4851.667609353912
2025-02-15,2025-02-14,2025-01-02,2025-02-14,6462.645812304941,10508.717164018524,42142.63390770333,0.0,17635.293454405426,0.0,17635.293454405426,22356.279572091902,14467.122236852223,4973.3854724636485
2025-02-16,2025-02-15,2025-01-02,2025-02-15,10508.717164018524,7417.283356359262,78849.56385903497,0.0,54589.72720968282,0.0,54589.72720968282,18158.74466055692,17490.873601944448,2804.3137004225
2025-02-17,2025-02-16,2025-01-02,2025-02-16,7417.283356359262,8169.405315740743,83316.50727995062,0.0,56378.726218084434,0.0,56378.726218084434,19601.390858160485,15200.216831666663,7731.470086790131
2025-02-18,2025-02-17,2025-01-02,2025-02-17,8169.405315740743,6820.8184539,79749.02737980246,0.0,53533.504111718605,0.0,53533.504111718605,18253.103763112475,15998.742223777772,5403.278057134436
2025-02-19,2025-02-18,2025-01-02,2025-02-18,6820.8184539,8031.875810090125,83290.76075246502,0.0,54999.99168252312,0.0,54999.99168252312,23144.729421144035,17657.279210555556,4923.983158543208
2025-02-20,2025-02-19,2025-01-02,2025-02-19,8031.875810090125,2586.154899439507,74768.0094197332,0.0,52082.56024317334,0.0,52082.56024317334,14108.063722939642,16328.680435166669,5995.492398626887
2025-02-21,2025-02-20,2025-01-02,2025-02-20,2586.154899439507,5513.178844054323,39313.87738208916,0.0,16388.13183737887,0.0,16388.13183737887,20734.76832844719,14160.84079588889,7179.687816197528
2025-02-22,2025-02-21,2025-01-02,2025-02-21,5513.178844054323,10800.0,41979.423366057614,0.0,17344.607801212587,0.0,17344.607801212587,23950.40629878737,14641.690061666664,4825.944245603573
2025-02-23,2025-02-22,2025-01-02,2025-02-22,10800.0,8151.238549311113,75996.31562765001,0.0,51309.598455033934,0.0,51309.598455033934,18345.818133548695,17243.99799379444,3362.641804562416
2025-02-24,2025-02-23,2025-01-02,2025-02-23,8151.238549311113,7564.664983414815,78175.5575110321,13.592134666666652,51974.879979124584,69.38541467133327,52044.26539379592,18958.738540910832,15884.494427444446,6911.871915565707
2025-02-25,2025-02-24,2025-01-02,2025-02-24,7564.664983414815,7463.58659021605,77993.13259643162,0.0,50820.162424916125,0.0,50820.162424916125,18364.673236274353,14966.355875261112,8773.49200208504
2025-02-26,2025-02-25,2025-01-02,2025-02-25,7463.58659021605,6941.352100758025,76473.90971690536,0.0,50457.28373609055,0.0,50457.28373609055,19760.15498661042,16475.736579666664,4374.643276628262
2025-02-27,2025-02-26,2025-01-02,2025-02-26,6941.352100758025,2496.7457545555576,71612.83543345815,196.06314407222467,46942.215474544064,1004.4742664954658,47946.68974103953,17712.69474473388,18347.428454816665,5487.04808761317
2025-02-28,2025-02-27,2025-01-03,2025-02-27,2496.7457545555576,4728.575982018523,37034.825653868305,0.0,15003.815208740458,0.0,15003.815208740458,19451.340235589847,13746.93838611111,8037.8302543895725
2025-03-01,2025-02-28,2025-01-04,2025-02-28,4728.575982018523,10800.0,41690.32390560356,0.0,16643.282684173995,0.0,16643.282684173995,23551.88650763374,13612.746454999999,8092.417919636489
2025-03-02,2025-03-01,2025-01-05,2025-03-01,10800.0,7294.005896195472,71567.79629222222,2571.295931020373,47490.71988897894,16149.255829979877,63639.97571895882,16750.83501440329,16723.571055090742,1753.5211972633747
2025-03-03,2025-03-02,2025-01-06,2025-03-02,7294.005896195472,5754.592150384773,75379.85678245503,994.150257290746,49450.39415446199,5907.540350566987,55357.93450502898,21686.269240640147,18951.350456148146,1621.94162192044
2025-03-04,2025-03-03,2025-01-07,2025-03-03,5754.592150384773,7361.293150796298,80084.21821334476,0.0,52149.16069866503,0.0,52149.16069866503,22607.777744627343,16866.269072777774,5143.251608161858
2025-03-05,2025-03-04,2025-01-08,2025-03-04,7361.293150796298,7603.58048909259,79669.36868376544,0.0,51066.26118729633,0.0,51066.26118729633,20229.72424145405,16168.018031111113,9477.190456755825
2025-03-06,2025-03-05,2025-01-09,2025-03-05,7603.58048909259,2298.142729493828,73047.05079211935,0.0,48575.20108644165,0.0,48575.20108644165,13510.868845301782,15718.697748333334,9314.22556181756
